Name,Impacts,Cnt,TotalDuration
Logstash Clickhouse - Insert Errors,DataFabric,1,
RMQ - Shared Prod - Error Queues Depth,live-monitor_error,22,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Kubernetes POD Restart Alert,live-monitor-2-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,2,
ClickHouse Expensive Queries,metabase,1,
Records lost in av_completed_tasks CH,,2,
Test - High live monitor avg metric TAT ,[no value],3,
RMQ - rapid rise in error queue depth,logstash-clickhouse_error,1,
Test - Pulsar - Metrics absent,StreamNative Pulsar,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
⚠️ ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,3,
DatasourceNoData,Pulsar,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Kubernetes POD Restart Alert,data-push-engine-service,1,
Kubernetes POD Restart Alert,insights-service,2,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Kubernetes POD Restart Alert,grafana,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash BigQuery - Insert Errors,,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
ClickHouse Expensive Queries,,1,
Kubernetes POD Restart Alert,metabase,3,
⚠️ ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Dorado VM Monitoring - Memory Utilization,dorado-es-cluster-3,52,
Kubernetes POD Restart Alert,live-monitor-2-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash BigQuery - Insert Errors,,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,4,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Dorado VM Monitoring - Disk Utilization - Warning,dorado-zookeeper-cluster-3,4,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
OU status changed to null,,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Kubernetes POD Restart Alert,insights-service,2,
Container Killed Out of Memory,,2,
RMQ - No active consumer ,RMQ,4,
RMQ - Shared Prod - Functional Queues Depth,calls_event_queue,17,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Test - Dorado VM Monitoring - Disk Utilization,"{{ $values.C.Labels.""metadata.label.system.name"" }}",1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Kubernetes POD Restart Alert,insights-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
ClickHouse Expensive Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
IDfy Instrumenter - Shovel Queue Depth,VS Indonesia,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
ClickHouse Expensive Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,4,
ClickHouse Expensive Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Alert_test - Dorado VM Monitoring - CPU Utilization,dorado-clickhouse-cluster-2,2,
Data Missing,Av Completed Tasks,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Clickhouse High Memory Usage,,12,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
ClickHouse Expensive Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
⚠️ ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
⚠️ ClickHouse Expensive Queries,metabase,1,
Container Killed Out of Memory,,2,
Test - Pulsar - No active consumer ,StreamNative Pulsar,1,
Kubernetes POD Restart Alert,insights-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Kubernetes POD Restart Alert,live-desk-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Dorado VM Monitoring - CPU Utilization,dorado-clickhouse-cluster-1,2,
ClickHouse Expensive Queries,,3,
Kubernetes POD Restart Alert,victoria-metrics-cluster-vmselect,1,
⚠️ ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash BigQuery - Insert Errors,,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
ClickHouse Expensive Queries,,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Pulsar - rapid rise in backlog depth,logstash-bigquery,6,
Clickhouse Down,dorado-clickhouse-cluster-1.c.idfy-data-lake-prod.internal:9363,3,
RMQ - Shared Prod - Functional Queues Depth,beam-events_catalogue_volume,35,
Logstash BigQuery - Insert Errors,DataFabric,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Dorado VM Monitoring - Disk Utilization,dorado-zookeeper-cluster-3,6,
Container Killed Out of Memory,,2,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Kubernetes POD Restart Alert,metabase,1,
AWS Billing Spike Alert,Baldor Technologies Pvt Ltd,1,
ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash BigQuery - Insert Errors,,1,
ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Clickhouse Slow Queries,,1,
ClickHouse Expensive Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
IDfy Instrumenter - Shovel Queue Depth,Amazon Pay,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
RMQ - Shared Prod - Error Queues Depth,logstash-bq_error,8,
Logstash Clickhouse - Insert Errors,DataFabric,1,
AWS Billing Spike Alert,Privy Prod,1,
Kubernetes POD Restart Alert,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Pulsar - Metrics absent,"pulsar_rate_in, pulsar_rate_out",2,
RMQ - rapid rise in error queue depth,logstash-clickhouse_error,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Data Missing,Av Completed Profiles,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
RMQ - rapid rise in error queue depth,calls_event_queue_error,6,
Memory Request Utilization : Live Monitor Pods,,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Pulsar - High message backlog by subscription,logstash-bigquery,4,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Test - GCP Billing - Data push pipeline cost,GCP Billing,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Kubernetes POD Restart Alert,grafana,1,
Kubernetes POD Restart Alert,insights-service,1,
Clickhouse Slow Queries,,3,
Logstash Clickhouse - Insert Errors,DataFabric,2,
ClickHouse Expensive Queries,,3,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Kubernetes POD Restart Alert,insights-service,1,
ClickHouse Expensive Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,4,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Persistent Queue depth - Critical Alert,logstash-clickhouse-service,1,
Container Killed Out of Memory,,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
DatasourceError,,3,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash BigQuery - Insert Errors,,1,
Logstash Clickhouse - Insert Errors,DataFabric,4,
Pulsar - Metrics absent,StreamNative Pulsar,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash BigQuery - Insert Errors,,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Pulsar - High Message Backlog,logstash-clickhouse,9,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Clickhouse Down,dorado-clickhouse-cluster-2.c.idfy-data-lake-prod.internal:9363,2,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Test - RMQ - rapid rise in error queue depth,logstash-clickhouse_error,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
ClickHouse Expensive Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
ClickHouse Expensive Queries,metabase,1,
ClickHouse Expensive Queries,,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
ClickHouse Expensive Queries,metabase,1,
RMQ - No active consumer ,StreamNative Pulsar,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
ClickHouse Expensive Queries,,11,
Test - Data push pipeline cost,GCP Billing,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
⚠️ ClickHouse Expensive Queries,metabase,1,
Container Killed Out of Memory,,1,
High live monitor avg metric TAT ,,4,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash BigQuery - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
ClickHouse Expensive Queries,,1,
ClickHouse Expensive Queries,,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Pulsar - Metrics Absent,StreamNative Pulsar,8,
IDfy Instrumenter - Shovel Queue Depth,DC Prod,1,
Disk Availability,,8,
Logstash Clickhouse - Insert Errors,DataFabric,4,
Kubernetes POD Restart Alert,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Records lost in av_completed_tasks CH,,2,
DatasourceNoData,[no value],1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Clickhouse Slow Queries,,1,
Pulsar - High Message Backlog,logstash-bigquery,17,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Dorado VM Monitoring - CPU Utilization,dorado-zookeeper-cluster-3,16,
Alert_test - Dorado VM Monitoring - CPU Utilization,dorado-clickhouse-cluster-1,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Kubernetes POD Restart Alert,metabase,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
IDfy Instrumenter - Shovel Queue Depth,IndusInd,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash BigQuery - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Kubernetes POD Restart Alert,insights-service,3,
Test - Dorado VM Monitoring - Memory Utilization,[no value],1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
AWS Billing Spike Alert,IDfy Amazon Pay,1,
Logstash Clickhouse - Insert Errors,DataFabric,4,
Container Killed Out of Memory,,2,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Kubernetes POD Restart Alert,grafana,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
Container Killed Out of Memory,,1,
ClickHouse Expensive Queries,,1,
DatasourceNoData,,1,
RMQ - Shared Prod - Functional Queues Depth,beam-generic_anomaly_stream,1,
⚠️ ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Avg Processing TAT per plugin - Critical Alert,logstash-elasticsearch-service,1,
ClickHouse Expensive Queries,metabase,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,5,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Test - Pulsar - Metrics absent,Pulsar,2,
Test - Dorado VM Monitoring - Disk Utilization,[no value],1,
ClickHouse Expensive Queries,,1,
Test - Dorado VM Monitoring - Disk Utilization,"{{ $values.C.Labels.""metadata.label.system.name }}",1,
IDfy Instrumenter - Shovel Queue Depth,Eve Prod,1,
Logstash Clickhouse - Insert Errors,DataFabric,4,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Logstash Clickhouse - Insert Errors,DataFabric,1,
Clickhouse Slow Queries,,1,
Logstash Clickhouse - Insert Errors,DataFabric,2,
Kubernetes POD Restart Alert,insights-service,1,
ClickHouse Expensive Queries,,2,
Logstash Clickhouse - Insert Errors,DataFabric,3,
Container Killed Out of Memory,,2,
